Rank,Time,Coin,Symbol,Price,Change in last 24h,Total vol(24h)
81,01:41:25--11/21/22,"Fantom
FTM",,£ 0.1432,-7.92%,£ 13.80 M
82,01:41:26--11/21/22,"Arweave
AR",,£ 7.879,-15.18%,£ 13.72 M
83,01:41:26--11/21/22,"VeChain
VET",,£ 0.01505,-6.54%,£ 13.52 M
84,01:41:26--11/21/22,"Swipe
SXP",,£ 0.1899,-5.14%,£ 13.24 M
85,01:41:26--11/21/22,"Dai
DAI",,£ 0.8444,0.23%,£ 13.84 M
86,01:41:26--11/21/22,"Quant
QNT",,£ 91.08,-6.89%,£ 13.11 M
87,01:41:27--11/21/22,"Elrond
EGLD",,£ 35.17,-3.05%,£ 12.92 M
88,01:41:27--11/21/22,"Thorchain
RUNE",,£ 0.9594,-6.76%,£ 12.92 M
89,01:41:27--11/21/22,"Ethereum Name Service
ENS",,£ 10.23,-7.77%,£ 11.87 M
90,01:41:27--11/21/22,"Hifi Finance
MFT",,£ 0.003611,-7.04%,£ 11.90 M
91,01:41:27--11/21/22,"Ankr Network
ANKR",,£ 0.01731,-8.75%,£ 11.49 M
92,01:41:28--11/21/22,"Viberate
VIB",,£ 0.05954,-16.79%,£ 11.39 M
93,01:41:28--11/21/22,"Tornado Cash
TORN",,£ 4.313,1.77%,£ 11.66 M
94,01:41:28--11/21/22,"Loom Network
LOOM",,£ 0.03848,-9.91%,£ 11.37 M
95,01:41:28--11/21/22,"PancakeSwap
CAKE",,£ 3.165,-2.32%,£ 11.46 M
96,01:41:28--11/21/22,"Highstreet
HIGH",,£ 0.8895,-0.92%,£ 11.26 M
97,01:41:29--11/21/22,"OKB
OKB",,£ 16.86,-1.57%,£ 11.18 M
98,01:41:29--11/21/22,"Mossland
MOC",,£ 0.05244,-12.13%,£ 11.11 M
99,01:41:29--11/21/22,"Ooki
OOKI",,£ 0.003159,15.65%,£ 11.00 M
100,01:41:29--11/21/22,"Mines of Dalarnia
DAR",,£ 0.1061,-4.28%,£ 11.03 M
