Rank,Time,Coin,Symbol,Price,Change in last 24h,Total vol(24h)
,12:39:08--11/21/22,Algorand,ALGO,£0.208,0.97%,"£178,970,055"
,12:39:08--11/21/22,Cronos,CRO,£0.0547,0.30%,"£30,729,975"
,12:39:09--11/21/22,Filecoin,FIL,£3.53,0.33%,"£95,812,464"
,12:39:09--11/21/22,VeChain,VET,£0.01517,0.61%,"£34,866,784"
,12:39:09--11/21/22,Quant,QNT,£88.17,1.01%,"£38,430,886"
,12:39:10--11/21/22,NEAR Protocol,NEAR,£1.28,0.86%,"£139,629,345"
,12:39:10--11/21/22,OKB,OKB,£16.85,0.77%,"£13,707,160"
,12:39:11--11/21/22,Chiliz,CHZ,£0.1626,0.61%,"£780,065,283"
,12:39:12--11/21/22,Flow,FLOW,£0.9588,0.50%,"£24,222,455"
,12:39:12--11/21/22,Hedera,HBAR,£0.03908,0.99%,"£14,982,355"
,12:39:13--11/21/22,Internet Computer,ICP,£3.11,0.64%,"£33,028,682"
,12:39:13--11/21/22,MultiversX (Elrond),EGLD,£34.59,0.52%,"£27,404,908"
,12:39:13--11/21/22,Pax Dollar,USDP,£0.8438,0.21%,"£3,510,082"
,12:39:15--11/21/22,Terra Classic,LUNC,£0.0001296,0.68%,"£118,528,976"
,12:39:16--11/21/22,ApeCoin,APE,£2.54,6.53%,"£119,765,165"
,12:39:17--11/21/22,Chain,XCN,£0.03629,0.12%,"£10,025,800"
,12:39:18--11/21/22,EOS,EOS,£0.7218,0.65%,"£118,237,881"
,12:39:19--11/21/22,Tezos,XTZ,£0.8026,0.24%,"£21,281,617"
,12:39:19--11/21/22,TrueUSD,TUSD,£0.8492,0.15%,"£34,255,521"
,12:39:20--11/21/22,Theta Network,THETA,£0.7078,0.39%,"£18,545,096"
,12:39:20--11/21/22,Trust Wallet Token,TWT,£1.67,1.75%,"£118,288,565"
,12:39:21--11/21/22,The Sandbox,SAND,£0.4546,7.29%,"£120,024,618"
,12:39:22--11/21/22,Aave,AAVE,£47.55,0.70%,"£63,219,413"
,12:39:23--11/21/22,Huobi Token,HT,£3.98,5.43%,"£12,796,906"
,12:39:23--11/21/22,Bitcoin SV,BSV,£31.85,0.36%,"£43,042,135"
,12:39:24--11/21/22,USDD,USDD,£0.8381,0.06%,"£15,252,254"
,12:39:25--11/21/22,Decentraland,MANA,£0.3168,0.15%,"£75,635,058"
,12:39:26--11/21/22,KuCoin Token,KCS,£5.68,0.56%,"£1,509,529"
,12:39:27--11/21/22,Gemini Dollar,GUSD,£0.8489,0.21%,"£8,142,508"
,12:39:28--11/21/22,Neutrino USD,USDN,£0.7685,3.15%,"£2,847,224"
,12:39:28--11/21/22,Maker,MKR,£531.16,0.13%,"£20,732,726"
,12:39:28--11/21/22,Axie Infinity,AXS,£5.36,0.51%,"£46,128,448"
,12:39:29--11/21/22,BitTorrent-New,BTT,£0.0000005454,0.02%,"£15,659,387"
,12:39:29--11/21/22,Zcash,ZEC,£32.32,0.18%,"£30,718,047"
,12:39:29--11/21/22,BitDAO,BIT,£0.238,0.44%,"£7,307,455"
,12:39:30--11/21/22,IOTA,MIOTA,£0.1741,0.65%,"£16,577,837"
,12:39:30--11/21/22,PAX Gold,PAXG,"£1,468.91",0.22%,"£7,933,716"
,12:39:30--11/21/22,eCash,XEC,£0.0000239,0.50%,"£15,993,901"
,12:39:31--11/21/22,PancakeSwap,CAKE,£3.16,0.29%,"£28,993,858"
,12:39:31--11/21/22,Aptos,APT,£3.39,0.21%,"£121,342,295"
,12:39:32--11/21/22,Klaytn,KLAY,£0.1386,0.19%,"£22,642,822"
,12:39:33--11/21/22,Synthetix,SNX,£1.35,0.58%,"£20,237,195"
,12:39:33--11/21/22,Neo,NEO,£5.41,0.45%,"£32,025,540"
,12:39:34--11/21/22,Fantom,FTM,£0.1449,0.36%,"£41,350,612"
,12:39:35--11/21/22,BinaryX,BNX,£132.04,0.11%,"£9,441,470"
,12:39:36--11/21/22,Fei USD,FEI,£0.8233,1.58%,"£8,800,567"
,12:39:36--11/21/22,Mina,MINA,£0.4437,0.33%,"£14,093,880"
,12:39:37--11/21/22,Nexo,NEXO,£0.5902,0.06%,"£5,246,655"
,12:39:37--11/21/22,The Graph,GRT,£0.04649,0.69%,"£16,170,568"
,12:39:37--11/21/22,Dash,DASH,£28.99,0.54%,"£46,831,112"
,12:39:38--11/21/22,GateToken,GT,£2.92,0.37%,"£1,683,512"
,12:39:38--11/21/22,THORChain,RUNE,£0.9507,0.57%,"£21,746,841"
,12:39:38--11/21/22,EthereumPoW,ETHW,£2.69,0.38%,"£17,735,483"
,12:39:39--11/21/22,Lido DAO,LDO,£0.9203,0.48%,"£15,521,435"
,12:39:39--11/21/22,GMX,GMX,£34.95,0.51%,"£18,187,929"
,12:39:39--11/21/22,Basic Attention Token,BAT,£0.1845,0.58%,"£23,226,805"
,12:39:40--11/21/22,Arweave,AR,£7.93,7.40%,"£29,876,351"
,12:39:40--11/21/22,NEM,XEM,£0.02906,1.85%,"£65,728,036"
,12:39:40--11/21/22,1inch Network,1INCH,£0.4235,0.33%,"£16,618,115"
,12:39:40--11/21/22,Loopring,LRC,£0.1949,0.51%,"£22,457,367"
,12:39:41--11/21/22,Casper,CSPR,£0.0241,1.05%,"£6,737,659"
,12:39:41--11/21/22,XDC Network,XDC,£0.02049,0.26%,"£2,062,827"
,12:39:41--11/21/22,Stacks,STX,£0.1847,0.94%,"£11,511,807"
,12:39:42--11/21/22,Osmosis,OSMO,£0.8748,0.32%,"£10,090,424"
,12:39:43--11/21/22,Helium,HNT,£1.87,0.37%,"£4,137,602"
,12:39:43--11/21/22,Enjin Coin,ENJ,£0.244,0.38%,"£20,488,643"
,12:39:45--11/21/22,Zilliqa,ZIL,£0.01775,0.74%,"£40,342,823"
,12:39:45--11/21/22,Compound,COMP,£31.98,0.15%,"£11,805,765"
,12:39:46--11/21/22,Decred,DCR,£15.99,4.40%,"£868,674"
,12:39:46--11/21/22,Kava,KAVA,£0.707,0.95%,"£232,388,704"
,12:39:47--11/21/22,ImmutableX,IMX,£0.3372,1.33%,"£8,382,080"
,12:39:47--11/21/22,Curve DAO Token,CRV,£0.4243,0.49%,"£45,481,832"
,12:39:48--11/21/22,Convex Finance,CVX,£3.09,0.13%,"£5,410,481"
